id,titulo,fuente,tiempo_minutos,porciones,num_ingredientes,ingredientes,vegana,vegetariana,sin_gluten,url,imagen,dificultad,prop_alacena,pocos_ingredientes,es_rapida,score_alacena,num_ingredientes_norm,tiempo_minutos_norm,score_alacena_norm,prop_alacena_norm
sp_640062,Corn Avocado Salsa,Spoonacular,25.0,2,6,"avocado, balsamic vinegar, cumin, corn, garlic, bell pepper",True,True,True,https://www.foodista.com/recipe/BDRS2JZG/corn-avocado-salsa,https://img.spoonacular.com/recipes/640062-312x231.jpg,Facil,0.833,1,1,0.9,0.0,0.07547169811320756,1.0,0.833
sp_715421,Cheesy Chicken Enchilada Quinoa Casserole,Spoonacular,30.0,4,16,"avocado, pepper, black beans, canned tomatoes, chili powder, quinoa, cumin, verde enchilada sauce, cilantro, green onion tops, roma tomato, salt, cheese, chicken breast, corn, pepper",False,False,True,https://www.pinkwhen.com/cheesy-chicken-enchilada-quinoa-casserole/,https://img.spoonacular.com/recipes/715421-312x231.jpg,Media,0.812,0,1,0.637,0.38461538461538464,0.09433962264150944,0.6571056062581486,0.812
sp_715543,Homemade Guacamole,Spoonacular,45.0,4,6,"avocados, cilantro, juice of lime, pepper, onion, roma tomato",True,True,True,https://www.pinkwhen.com/homemade-guacamole-recipe/,https://img.spoonacular.com/recipes/715543-312x231.jpg,Facil,1.0,1,0,0.85,0.0,0.1509433962264151,0.9348109517601042,1.0
sp_982382,Instant Pot Chicken Taco Soup,Spoonacular,25.0,4,12,"boneless/skinless chicken breasts, black beans, corn, chilis, canned tomatoes, chili powder, cilantro, bell pepper, green onion, olive oil, onion, water",False,False,True,https://www.pinkwhen.com/instant-pot-chicken-taco-soup/,https://img.spoonacular.com/recipes/982382-312x231.jpg,Facil,0.833,0,1,0.65,0.23076923076923078,0.07547169811320756,0.6740547588005216,0.833
sp_637157,Carolina Caviar - Black Bean Salsa,Spoonacular,45.0,4,14,"black beans, avocados, bell pepper, orange bell pepper, bell pepper, green onions, onion, package corn, rotel tomatoes and chiles, cilantro, garlic, juice of lime, hot sauce, salt and pepper",True,True,True,https://www.foodista.com/recipe/YX8KH6ZY/carolina-caviar-black-bean-salsa,https://img.spoonacular.com/recipes/637157-312x231.jpg,Media,0.643,0,0,0.386,0.30769230769230776,0.1509433962264151,0.3298565840938722,0.643
sp_664501,Vegan Taco bowls with Cilantro Lime Cauliflower Rice,Spoonacular,180.0,4,12,"avocado oil, cauliflower, new mexico chili powder, cilantro, garlic powder, hass avocado, jalapeno, lime juice, onion, salt, tomato, walnuts",True,True,True,https://www.foodista.com/recipe/DKDKL4GJ/vegan-taco-bowls-with-cilantro-lime-cauliflower-rice,https://img.spoonacular.com/recipes/664501-312x231.jpg,Media,0.583,0,0,0.35,0.23076923076923078,0.660377358490566,0.2829204693611473,0.583
sp_645856,"Grilled Salmon With Cherry, Pineapple, Mango Salsa",Spoonacular,15.0,2,14,"anaheim peppers, cherries, basil, mint, garlic, juice of lime, lime zest, mango, olive oil, peach, pineapple, salmon fillet, salt and pepper, shallot",False,False,True,https://www.foodista.com/recipe/LX5DDBQX/grilled-salmon-with-cherry-pineapple-mango-salsa,https://img.spoonacular.com/recipes/645856-312x231.jpg,Media,0.357,0,1,0.364,0.30769230769230776,0.03773584905660378,0.3011734028683181,0.357
sp_716290,Mango Salsa,Spoonacular,45.0,1,8,"cherry tomatoes, bell pepper, lime juice, mangoes, mint leaves, bell pepper, onions, sugar",True,True,True,https://www.afrolems.com/2014/03/21/mango-salsa/,https://img.spoonacular.com/recipes/716290-312x231.jpg,Media,0.5,0,0,0.3,0.07692307692307693,0.1509433962264151,0.2177314211212516,0.5
sp_982368,Chicken Fajita Stuffed Bell Pepper,Spoonacular,45.0,3,11,"avocado, bell peppers, chicken breasts, chili powder, cilantro, cumin, lettuce, quinoa, salsa, salt and pepper, shredded cheese",False,False,True,https://www.pinkwhen.com/chicken-fajita-stuffed-bell-pepper/,https://img.spoonacular.com/recipes/982368-312x231.jpg,Media,0.727,0,0,0.436,0.19230769230769235,0.1509433962264151,0.3950456323337679,0.727
sp_638588,Chilled Avocado and Cucumber Soup With Prawn and Scallop Salsa,Spoonacular,45.0,4,19,"shallot, chili pepper flakes, lime zest, grape seed, water, avocados, cucumber, green onions, unpasteurized shiro miso, lime, water, prawns, scallops, olives, satsuma orange, coriander leaves, unrefined sea salt, cracked pepper, rice bran oil",False,False,True,https://www.foodista.com/recipe/2C7R4V2W/chilled-avocado-and-cucumber-soup-with-prawn-and-scallop-salsa,https://img.spoonacular.com/recipes/638588-312x231.jpg,Media,0.263,0,0,0.158,0.5,0.1509433962264151,0.03259452411994784,0.263
